InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,6,2
400,0,0
500,0,0
600,0,1
700,0,1
800,0,1
900,0,1
1000,0,1
1100,0,1
1200,0,1
1300,0,1
1400,0,1
1500,0,2
1600,15,2
1700,0,2
1800,0,9
1900,0,2
2000,13,3
2100,0,3
2200,0,3
2300,1,4
2400,1,10
2500,10,4
2600,1,5
2700,4,11
2800,4,12
2900,0,12
3000,12,13
3100,10,13
3200,6,13
3300,3,14
3400,6,14
3500,6,8
3600,6,15
3700,6,16
3800,6,16
3900,10,23
4000,15,17
4100,9,18
4200,9,18
4300,12,19
4400,9,20
4500,13,21
4600,16,27
4700,9,28
4800,16,22
4900,15,29
5000,16,30
5100,19,30
5200,22,32
5300,17,33
5400,15,33
5500,25,34
5600,15,38
5700,22,39
5800,28,37
5900,28,41
6000,28,42
6100,32,43
6200,25,48
6300,31,49
6400,31,49
6500,31,50
6600,31,50
6700,32,52
6800,34,56
6900,34,58
7000,43,62
7100,39,65
7200,40,65
7300,44,67
7400,41,67
7500,47,69
7600,51,72
7700,55,74
7800,51,75
7900,52,80
8000,55,84
8100,54,83
8200,62,84
8300,62,88
8400,63,90
8500,70,92
8600,63,101
8700,66,99
8800,75,104
8900,69,103
9000,66,112
9100,69,111
9200,79,111
9300,78,113
9400,85,118
9500,78,119
9600,84,121
9700,81,124
9800,88,125
9900,95,130
10000,90,133
10100,98,132
10200,99,134
10300,101,141
10400,103,144
10500,106,146
10600,100,147
10700,110,148
10800,109,154
10900,113,163
11000,110,162
11100,115,169
11200,125,168
11300,122,165
11400,122,171
11500,129,179
11600,126,177
11700,134,183
11800,138,184
11900,131,190
12000,141,192
12100,140,195
12200,144,195
12300,144,201
12400,147,201
12500,147,208
12600,157,213
12700,156,218
12800,159,221
12900,159,220
13000,166,226
13100,169,226
13200,172,232
13300,175,235
13400,174,239
13500,179,253
13600,178,247
13700,188,255
13800,188,260
13900,188,261
14000,193,268
14100,188,266
14200,200,267
14300,203,275
14400,203,275
14500,209,288
14600,213,288
14700,213,295
14800,222,294
14900,222,304
15000,216,302
15100,228,304
15200,229,311
15300,229,314
15400,225,312
15500,234,329
15600,241,332
15700,247,330
15800,247,336
15900,257,341
16000,253,344
16100,261,351
16200,267,352
16300,263,357
16400,265,369
16500,271,389
16600,285,383
16700,280,383
16800,287,384
16900,293,390
17000,286,391
17100,297,411
17200,300,426
17300,303,419
17400,303,410
17500,306,426
17600,305,423
17700,309,441
17800,312,429
17900,316,427
18000,324,431
18100,332,450
18200,336,444
18300,343,441
18400,341,463
18500,336,455
18600,347,465
18700,353,471
18800,358,483
18900,357,481
19000,363,491
19100,365,497
19200,377,493
19300,376,498
19400,380,518
19500,390,505
19600,392,516
19700,397,520
19800,398,529
19900,403,534
